argo,counterpart
Bu ne lan?,Bu da ne?
Defol git!,Lütfen gider misin?
Sıktın artık.,Yeter artık.
Hadi ordan!,Oradan çekil.
Saçmalıyorsun!,Yanlış konuşuyorsun.
Boş yapma.,Gereksiz konuşuyorsun.
Yalan mı?,Doğru mu?
Kafam güzel.,Keyfim yerinde.
Dallama!,Saçmalama!
Sıkıntı yok.,Sorun yok.
Bırak bu işleri.,Bu konuyu kapat.
Kaçalım buradan.,Hadi buradan uzaklaşalım.
Fena patladım.,Çok şaşırdım.
İçime doğdu.,Hissettim.
Çok gaza geldim.,Çok heyecanlandım.
Yapacak bir şey yok.,Elimizden bir şey gelmez.
Bu nasıl iş ya?,Bu nasıl bir durum?
Uykum var.,Yorgunum.
Nereye bakıyorsun?,Ne tarafa bakıyorsun?
Kafayı yedim.,Çok şaşırdım.
Kes sesini.,Sus lütfen.
Ağzını topla.,Dikkatli konuş.
Fazla konuşma.,Daha az konuş.
Boş yapıyorsun.,Gereksiz konuşuyorsun.
Bu neyin kafası?,Bu nasıl bir düşünce?
Biraz sakin ol.,Lütfen sakinleş.
Beni deli etme.,Sinirlendirme beni.
Ne alaka?,Bu nasıl bir bağlantı?
Bu iş yaş.,Bu iş zor.
Sana ne?,Bu seni ilgilendirmez.
Yürü git!,Lütfen git.
Çeneni kapat.,Lütfen sessiz ol.
Salak mısın?,Mantıksız davranıyorsun.
Beni çıldırtma.,Beni kızdırma.
Uzaklaş git.,Lütfen uzaklaş.
Mal mısın?,Anlamıyor musun?
Kesin çeneni.,Sessiz ol lütfen.
Zırvalama.,Saçmalama.
Sen bir aptalsın.,Sen pek akıllı değilsin.
Çakallık yapma.,Kurnazlık yapma.
Zıkkımın kökü.,Hiçbir şey.
Zırvalam.,Saçmalama.
Aptal herif.,Düşüncesiz kişi.
Kafanı kullan.,Mantıklı düşün.
Nah yaparım.,Asla yapmam.
Seni gidi hıyar.,Sen bir acemi.
Moruk ne yapıyorsun?,Dostum ne yapıyorsun?
Hıyarlık etme.,Akılsızlık etme.
Çek git buradan.,Lütfen buradan ayrıl.
Zırvalıyorsun.,Mantıksız konuşuyorsun.
Çüş artık!,Bu çok fazla!
Kapa çeneni!,Lütfen sessiz ol.
Çok konuşuyorsun.,Gereksiz yere konuşuyorsun.
Kafayı mı yedin?,Sakin ol lütfen.
Otur yerine!,Lütfen yerine otur.
Çeneni kapat!,Sessiz ol lütfen.
İyice sıktın.,Bu davranışın rahatsız edici.
Sana ne be!,Bu seni ilgilendirmez.
Bu ne rezillik?,Bu çok uygunsuz bir hareket.
Kıl oldum sana!,Bu hoş değil.
Yok artık!,Bu kadarına da pes!
Hadi len oradan!,Bu şekilde konuşma.
İyice abarttın!,Abartıyorsun.
Çek git buradan!,Buradan ayrıl.
Kafayı yemişsin!,Mantıklı düşünmeye çalış.
Densiz herif!,Nazik ol lütfen.
Dangalak mısın?,Bu hareketin yanlış.
Akıllı ol biraz!,Daha sakin ol.
Kafan mı iyi?,Ne içtin sen?
Sana ne ulan?,Bu seni ilgilendirmez.
Gözüm görmesin seni!,Seni görmek istemiyorum.
Sana mı kaldı?,Bu iş sana düşmez.
Bırak artık!,Bu konuyu kapatalım.
Çekil yolumdan!,Lütfen çekilir misin?
Beni rahat bırak!,Beni yalnız bırak lütfen.
Zıvanadan çıktın!,Bu davranışın kabul edilemez.
Kime diyorum ben!,Sana söylüyorum!
Laf anlamazsın!,Dinlemiyorsun beni.
Gıcık oluyorum sana!,Bu davranışın uygun değil.
Yeter be!,Yeter artık lütfen.
Ne işin var burada?,Burada ne yapıyorsun?
Kendi işine bak!,Kendi işinle ilgilen.
Hangi kafadasın?,Ne düşünüyorsun?
Kafasız herif!,Daha mantıklı ol.
Manyak mısın nesin?,Daha sakin ol lütfen.
Yüzsüzsün!,Saygısızlık etme.
Herkes aynı değil!,Herkes farklıdır.
Bu ne cesaret?,Bu davranışın cesaret mi yoksa densizlik mi?
Sümsük herif!,Bu uygun değil.
Güldürme beni!,Bu çok saçma.
Komik misin?,Komik değil.
Şaka mı bu?,Şaka mı yapıyorsun?
Yok artık daha neler!,Bu çok abartılı oldu.
Ne ayaksın sen?,Kimsin sen?
Bir susar mısın?,Sadece biraz sessiz olabilir misin?
Dilini tut!,Kelimelerine dikkat et.
Otur oturduğun yerde!,Lütfen yerinde otur.
Beni sinirlendirme!,Beni sakinleştir lütfen.
Bunu hak ettin!,Bu durumu sen yarattın.
Sana mı soracağım?,Bu konuyu sana sormadım.
Kes zırvalamayı!,Bu konuşmayı sonlandıralım.
Sus artık!,Sessiz ol lütfen.
Daha ne istiyorsun?,Daha ne söyleyebilirim ki?
Dalga mı geçiyorsun?,Bu ciddi değil mi?
Beni güldürme!,Bu davranışın komik değil.
Oha be!,Bu fazla ileri gitti.
Sen ne ayaksın?,Bu nasıl bir tavır?
İyice saçmaladın!,Bu gerçekten anlamsız.
İşine bak!,Kendi işinle ilgilen.
Başlarım şimdi işine!,Bu konuşmayı bitirelim.
Kafa mı buluyorsun?,Bu bana mantıklı gelmiyor.
Bu ne cüret!,Bu davranışın haddini aşıyor.
Sana mı kaldı?,Sana ne?
Saçmalama!,Bu konuyu kapatalım.
Densizlik yapma!,Bu yakışıksız bir davranış.
